variant,alpha,val_ndcg@20,test_ndcg@20,test_hit_rate@20
binary,640.0,0.33290103851784586,0.32778213473015855,0.6121047677058531
count,640.0,0.33125526826117857,0.32680245100211325,0.6107204164128689
