delta,mean,std,min,max
logq_on_minus_off,0.043241340585904266,0.0035926929405328805,0.04060766733167234,0.04733401338567386
lambdarank_minus_binary,0.004015738412544323,0.0002146244785601427,0.0038721792986384784,0.004262465825752015
rerank_minus_retrieval,0.01663900684571214,0.0005142739834595034,0.016305636368905696,0.01723128088091186
