model,full_value,full_rank,sampled_value,sampled_rank,rank_changed,sampler
itemknn,0.3353389738451103,1,0.7494774208181734,2,True,uniform
ease,0.33448610218462843,2,0.7384735036085521,3,True,uniform
als,0.32778213473015855,3,0.8528543298462735,1,True,uniform
popularity,0.009395389736713219,4,0.23385792621140092,4,False,uniform
itemknn,0.3353389738451103,1,0.7264131460067152,2,True,popularity
ease,0.33448610218462843,2,0.7076501265450338,3,True,popularity
als,0.32778213473015855,3,0.8232746154007186,1,True,popularity
popularity,0.009395389736713219,4,0.08069640817736752,4,False,popularity
