metric,mean,std,min,max
retrieval_only,0.32778213473015855,0.0,0.32778213473015855,0.32778213473015855
sasrec_full_softmax,0.15035076897327695,0.02118202065372596,0.13799246196535167,0.17480920541991193
sasrec_sampled_bce,0.01994618337837726,0.001558112938141943,0.018366995206785416,0.0214823291817612
two_stage_binary,0.34040540316332635,0.0006455454838700181,0.33982530527331223,0.34110084549782793
two_stage_lambdarank,0.34442114157587067,0.0005142739834594998,0.34408777109906424,0.3450134156110704
two_tower_logq_off,0.23518691090356145,0.005729607547648998,0.22999870265613748,0.24133633133332802
two_tower_logq_on,0.27842825148946565,0.005759856562605765,0.2717810436965041,0.28194399866500036
