protocol,model,ndcg@20,hit_rate@20
temporal,popularity,0.009395389736713219,0.027631651807962787
temporal,itemknn,0.3353389738451103,0.5847499861564871
temporal,ease,0.33448610218462843,0.5797663215017442
temporal,als,0.32778213473015855,0.6121047677058531
leave_one_out,popularity,0.007724929787832721,0.020243496956288045
leave_one_out,itemknn,0.2711457905650786,0.48881263984200196
leave_one_out,ease,0.27717322889408275,0.49687503906201175
leave_one_out,als,0.28895878410934067,0.5518743515706054
