model,protocol,k,coverage,gini,mean_pop_percentile
popularity,temporal,10,0.000945179584120983,0.9992713790964348,0.9996715645934086
popularity,temporal,20,0.0018176530463865058,0.9985432231996293,0.999306868503884
itemknn,temporal,10,0.9294023556783482,0.6106030334077847,0.7017638876122643
itemknn,temporal,20,0.9833502980950997,0.5511488360381576,0.656242019143832
ease,temporal,10,0.9185691435218846,0.634320605356187,0.7470813306877854
ease,temporal,20,0.9824051185109787,0.574835345937612,0.7267507884662223
als,temporal,10,0.7672677039406718,0.6962457061255675,0.7669616017047333
als,temporal,20,0.9107168823614948,0.6100121165060064,0.7196285975020186
